array,site,long,lat,buffer_dist,start_date,end_date,camera_failure_details,deployment_id,ndvi
LU15,LU15_11,-112.83254,56.212140000000005,50,2022-09-13,2023-09-12,NA,NA,0.6644265625000001
LU15,LU15_19,-112.85681,56.2124,50,2022-09-13,2023-09-11,NA,NA,0.6810333333333334
LU15,LU15_7,-112.98846,56.2118,50,2022-09-13,2023-09-12,NA,NA,0.7303645833333333
LU15,LU15_34,-112.99898,56.1777,50,2022-09-13,2023-09-12,NA,NA,0.6756552083333334
LU15,LU15_37,-112.86945,56.1802,50,2022-09-13,2023-09-12,NA,NA,0.6534409722222222
LU15,LU15_18,-112.93424000000002,56.21154,50,2022-09-13,2023-09-12,NA,NA,0.6881375000000001
LU15,LU15_43,-112.89617,56.21047,50,2022-09-13,2023-09-12,NA,NA,0.7185770833333334
LU15,LU15_10,-112.9125,56.21595000000001,50,2022-09-13,2023-09-12,NA,NA,0.6853
LU15,LU15_58,-112.9139,56.22151000000001,50,2022-09-13,2023-09-12,NA,NA,0.7160743055555555
LU15,LU15_8,-112.806392,56.215085,50,2022-09-13,2023-09-12,NA,NA,0.6790750000000001
LU15,LU15_12,-112.82142,56.179370000000006,50,2022-09-13,2022-11-17,NA,NA,0.64394375
LU15,LU15_17,-112.74088,56.1792,50,2022-09-13,2023-09-12,NA,NA,0.6910604166666667
LU15,LU15_1,-113.01591,56.13297000000001,50,2022-09-13,2023-09-13,NA,NA,0.6220187500000001
LU15,LU15_26,-113.00198,56.13686,50,2022-09-13,2023-09-13,NA,NA,0.6714458333333333
LU15,LU15_27,-112.9838,56.13768,50,2022-09-13,2023-09-13,NA,NA,0.6754833333333333
LU15,LU15_28,-112.94679,56.13708,50,2022-09-13,2023-09-13,NA,NA,0.6914375
LU15,LU15_2,-112.92681,56.134530000000005,50,2022-09-13,2023-09-13,NA,NA,0.6562666666666667
LU15,LU15_29,-112.91135,56.13785,50,2022-09-13,2023-09-13,NA,NA,0.66495625
LU15,LU15_30,-112.88976,56.138250000000006,50,2022-09-13,2023-09-13,NA,NA,0.6892770833333334
LU15,LU15_31,-112.87376999999998,56.138200000000005,50,2022-09-13,2023-09-13,NA,NA,0.69586875
LU15,LU15_32,-112.85918,56.1378,50,2022-09-13,2023-09-13,NA,NA,0.6863791666666668
LU15,LU15_20,-113.06107,56.21454,50,2022-09-13,2023-09-12,NA,NA,0.7364208333333333
LU15,LU15_21,-113.01251,56.217110000000005,50,2022-09-13,2023-09-12,NA,NA,0.7695614583333334
LU15,LU15_23,-113.05704,56.20251000000001,50,2022-09-12,2023-09-12,NA,NA,0.6960885416666667
LU15,LU15_41,-113.05862,56.19308,50,2022-09-12,2023-09-12,NA,NA,0.6896562500000001
LU15,LU15_25,-112.96203,56.21123,50,2022-09-12,2023-09-12,NA,NA,0.69926875
LU15,LU15_9,-112.97829,56.21596,50,2022-09-12,2023-09-12,NA,NA,0.6972270833333334
LU15,LU15_24,-113.04411000000002,56.21198,50,2022-09-12,2023-09-12,NA,NA,0.7253171875
LU15,LU15_46,-113.0253,56.21193,50,2022-09-12,2023-09-12,NA,NA,0.7382364583333334
LU15,LU15_40,-112.73063,56.18027,50,2022-09-12,2023-09-12,NA,NA,0.7018104166666668
LU15,LU15_16,-112.76156000000002,56.17765,50,2022-09-12,2023-09-12,NA,NA,0.71678125
LU15,LU15_4,-112.92477,56.17984,50,2022-09-12,2023-09-12,NA,NA,0.6169770833333333
LU15,LU15_36,-112.95157,56.17767,50,2022-09-12,2023-09-12,NA,NA,0.6500750000000001
LU15,LU15_3,-113.04402000000002,56.17757,50,2022-09-12,2023-09-12,NA,NA,0.73284375
LU15,LU15_15,-113.06137,56.1834,50,2022-09-12,2023-09-12,NA,NA,0.6301625
LU15,LU15_14,-113.07427,56.169160000000005,50,2022-09-12,2023-09-12,NA,NA,0.7505625
LU15,LU15_22,-112.88846999999998,56.39487999999999,50,2022-09-11,2023-09-14,NA,NA,0.6374041666666668
LU15,LU15_61,-112.9044,56.38513,50,2022-09-11,2023-09-14,NA,NA,0.6903645833333334
LU21,LU21_106,-112.03402,56.56523000000001,50,2022-09-20,2023-09-25,NA,NA,0.7319906250000001
LU21,LU21_10,-111.9936,56.59103,50,2022-09-20,2023-09-25,NA,NA,0.6204875000000001
LU21,LU21_16,-111.97281,56.625220000000006,50,2022-09-20,2023-09-25,NA,NA,0.6694052083333333
