array,site,start_date,end_date,camera_failure_details
LU22,LU22_71,9/21/2023,9/7/2024,NA
LU22,LU22_72,9/21/2023,9/7/2024,NA
LU22,LU22_76,9/20/2023,9/6/2024,NA
LU22,LU22_77,9/21/2023,9/7/2024,NA
LU22,LU22_80,9/20/2023,9/6/2024,NA
LU22,LU22_81,9/20/2023,9/6/2024,NA
LU22,LU22_82,9/21/2023,9/7/2024,NA
LU22,LU22_85,9/20/2023,9/6/2024,NA
LU22,LU22_86,9/20/2023,9/6/2024,NA
LU22,LU22_87,9/20/2023,9/6/2024,NA
LU22,LU22_89,9/20/2023,9/6/2024,NA
LU22,LU22_94,9/21/2023,9/7/2024,NA
