array,site,buffer_dist,AGE_0_10,AGE_10_20,AGE_20_30,AGE_30_40,AGE_40_50,AGE_50_60,AGE_60_70,AGE_70_80,AGE_80_90,AGE_90_100,AGE_100_110,AGE_110_120,AGE_120_130,AGE_130_140,AGE_140_150,AGE_GT_150,LC_WATER,LC_SNOW_ICE,LC_ROCK_RUBBLE,LC_EXPOSED_BARREN,LC_BRYOIDS,LC_SHRUBS,LC_WETLAND,LC_WETLAND_TREED,LC_HERBS,LC_CONIFEROUS,LC_BROADLEAF,LC_MIXEDWOOD,PINU.BAN_PCT_OF_TREED,PICE.MAR_PCT_OF_TREED,POPU.TRE_PCT_OF_TREED,LARI.LAR_PCT_OF_TREED,PICE.GLA_PCT_OF_TREED,BETU.PAP_PCT_OF_TREED,FIRE_PCT_1985,FIRE_PCT_1986,FIRE_PCT_1987,FIRE_PCT_1988,FIRE_PCT_1989,FIRE_PCT_1990,FIRE_PCT_1991,FIRE_PCT_1992,FIRE_PCT_1993,FIRE_PCT_1994,FIRE_PCT_1995,FIRE_PCT_1996,FIRE_PCT_1997,FIRE_PCT_1998,FIRE_PCT_1999,FIRE_PCT_2000,FIRE_PCT_2001,FIRE_PCT_2002,FIRE_PCT_2003,FIRE_PCT_2004,FIRE_PCT_2005,FIRE_PCT_2006,FIRE_PCT_2007,FIRE_PCT_2008,FIRE_PCT_2009,FIRE_PCT_2010,FIRE_PCT_2011,FIRE_PCT_2012,FIRE_PCT_2013,FIRE_PCT_2014,FIRE_PCT_2015,FIRE_PCT_2016,FIRE_PCT_2017,FIRE_PCT_2018,FIRE_PCT_2019,FIRE_PCT_2020,HARVEST_PCT_1985,HARVEST_PCT_1986,HARVEST_PCT_1987,HARVEST_PCT_1988,HARVEST_PCT_1989,HARVEST_PCT_1990,HARVEST_PCT_1991,HARVEST_PCT_1992,HARVEST_PCT_1993,HARVEST_PCT_1994,HARVEST_PCT_1995,HARVEST_PCT_1996,HARVEST_PCT_1997,HARVEST_PCT_1998,HARVEST_PCT_1999,HARVEST_PCT_2000,HARVEST_PCT_2001,HARVEST_PCT_2002,HARVEST_PCT_2003,HARVEST_PCT_2004,HARVEST_PCT_2005,HARVEST_PCT_2006,HARVEST_PCT_2007,HARVEST_PCT_2008,HARVEST_PCT_2009,HARVEST_PCT_2010,HARVEST_PCT_2011,HARVEST_PCT_2012,HARVEST_PCT_2013,HARVEST_PCT_2014,HARVEST_PCT_2015,HARVEST_PCT_2016,HARVEST_PCT_2017,HARVEST_PCT_2018,HARVEST_PCT_2019,HARVEST_PCT_2020,long,lat
LU2,LU2_3,1500,0,0.14983991067450644,0,7.908812817755261e-4,0.08292808685914742,0.22526772891155963,0.17405508087265054,0.08338896451409092,0.16404923078057146,0.05651644778407942,0.021867414015030028,0.01172449628188604,0.007569492384972166,0.0029408902664640694,0.00516760053408403,0.013694040301881956,0.006911565441481745,0,0,0,0,6.229736604272694e-5,0.01915537649082956,0.05993606002801526,0.046969795460416075,0.4472947206883098,0.3870575096765455,0.032591911920556535,0.0140428821209773,0.3727776464704922,0.5782838428148129,0,0.029986461841911834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05625452153658242,0.13228892167550502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,1750,0,0.16316108752785333,3.5791440961775356e-6,8.641122975561229e-4,0.08847345260377489,0.21723629464717958,0.16783515482808872,0.07919642047716462,0.16442421794265932,0.051279480342596134,0.019717938581413616,0.011421216130265872,0.00722155273619711,0.0025293602600508502,0.005330410044117531,0.012315645314703121,0.016565918129286074,0,0,0,0,6.606940225614606e-5,0.017573387800798757,0.06165348568997598,0.04634124060258845,0.4004812856544676,0.4273259466909146,0.029979068298384086,0.011094300990509467,0.3417202213486386,0.6027428533091053,0,0.030832041298799514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737102480234974e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06195299715766314,0.14589522280703887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,2000,0,0.1627469073589916,2.951665776408289e-5,0.0010935524609097388,0.09370808529548456,0.21325224377466712,0.1652933622186181,0.0768442469676134,0.16898542519646123,0.048173061772705514,0.018638342057652316,0.01107586026523774,0.0070400614151493734,0.0024150841847698718,0.005372360447729777,0.011394377276332746,0.02017273984267471,0,0,0,0,5.931217075451468e-5,0.018537519075690838,0.0604352597689035,0.043609794506917515,0.3730869401791801,0.4556681660559338,0.028419190434996758,0.009176212370158159,0.32013035144445645,0.6193398114923924,0,0.03257500200474489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.906616468775677e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598397907687811,0.1496191994352487,0,0,0,0,0,0,0,0,9.139492080484641e-7,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,2250,0,0.17010642172809318,6.558871617189612e-5,0.0014036663088374808,0.10318351473279598,0.2134496903299616,0.1623644456910532,0.07282521775025512,0.1652890323723065,0.04523361753395884,0.019174568761945218,0.010530088600000626,0.006803533397223781,0.0025109613557684923,0.005458967587964182,0.010522997063762578,0.015994154048265992,0,0,2.895406085372249e-7,0,5.472059068275443e-5,0.01757619822221938,0.05695380605088398,0.04204451321208221,0.3606077795250441,0.4797727953834228,0.026986613247920517,0.007560274901409113,0.3073528907657977,0.6362085354519258,0,0.032195400972873954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.680859493339192e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06300000165707938,0.16015617924652314,0,0,0,0,0,0,0,0,1.3500644946160765e-5,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,2500,0,0.18300594561786715,7.958489853889173e-5,0.0016920711398111805,0.11106911545744826,0.21467779697172037,0.15892296894782934,0.06831186549359455,0.15747982639511887,0.041614344304800696,0.019785042416111162,0.010016737278452963,0.006491630767040852,0.0023754206617065043,0.0057228630404279005,0.009784756053658923,0.013002201971937768,0,0,1.631950656760306e-6,0,4.704024696536486e-5,0.015468539620050266,0.05340555715330266,0.0425888123921078,0.3527885869644639,0.4951479863093362,0.027543437549506576,0.006214098132828083,0.29755755762862607,0.6504677402287934,0,0.03051964770918025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0533295394853318e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060541432143896,0.18198048953353774,0,0,0,0,0,0,0,0,2.6395723672834515e-5,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,2750,0,0.18478269235242498,8.599803926560642e-5,0.002053794222505222,0.11361352319060081,0.21976856999730499,0.1579284096786212,0.06662587830078912,0.15345707780518544,0.038847977013923216,0.020830474260831087,0.010180704709582227,0.00636499263990391,0.002358116384352791,0.006063765706946641,0.00962719654855953,0.011025729453154935,0,0,2.4406956922793644e-6,0,3.892911117351435e-5,0.013883103784350488,0.05113241917697886,0.04167569318543979,0.35696279552689986,0.49601354735488395,0.029261342049048962,0.0052083987726853015,0.299858608830777,0.6508015140865246,0,0.030077089100749622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1382093432212614e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062293872805211925,0.18186626294990188,0,0,0,0,0,0,0,0,2.7957366760409684e-5,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,3000,0,0.1814809821879416,9.621809798485987e-5,0.0026422646605777076,0.11687295274989505,0.22503841576740552,0.15755190769607424,0.065304391038095,0.15124352483397543,0.036757959124773476,0.021690272047838847,0.010694147741012837,0.006183451310165483,0.002386374469111715,0.006286231921565965,0.009544853504556599,0.010397075534274646,0,0,7.535307798678583e-6,0,3.271126702774191e-5,0.01221314430098146,0.051350608153948644,0.0404534219503642,0.3586365927161676,0.4956485109381233,0.031256290144067375,0.00446855049969187,0.2998558919318149,0.6512941342943324,0,0.031185799742862803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2734748262702042e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06836736553036174,0.1727313858981969,0,0,0,0,0,0,0,0,4.7163171640313164e-5,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,3250,0,0.17708130316137632,1.0037269208930284e-4,0.003081572942735111,0.11957093888180959,0.2297723365797658,0.15615411760406245,0.0634241038939615,0.15125470675829744,0.03576140145499545,0.0226413413088324,0.011307504783678389,0.006151147440766625,0.002412643432971568,0.0063381087130060946,0.00964305764783728,0.00988949796020842,0,0,1.3961876041696407e-5,0,2.7872322201153507e-5,0.010711708551039577,0.052635638756093214,0.038779340291934965,0.36280522149581873,0.49239789108601867,0.03273468933767734,0.0038103497215277653,0.30342153853027676,0.6473850541438283,2.813813530203629e-5,0.03288855683173476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3284621011819495e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07517383842207806,0.16282618181179817,0,0,0,0,0,0,0,0,6.81040456368572e-5,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,3500,0,0.16853977392744693,1.0331723574801861e-4,0.003444380149928071,0.12229776084860502,0.2352431787828707,0.15534239161540123,0.06160474159029155,0.15355973032554782,0.0347612683869475,0.023791529048025062,0.011740507786775042,0.00628388148793863,0.002471612045412562,0.006417439094798105,0.009821577022053671,0.008582158512449995,0,0,2.1550754662539008e-5,0,2.4032767612218854e-5,0.009648917289591488,0.053114144359449326,0.036676272849327896,0.3663880159133749,0.48978816063776853,0.035752114666441355,0.003389396806377156,0.30605394676247116,0.6448752200831427,2.4294670928867217e-5,0.03383895690568159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3674340025473052e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07731749454114545,0.15099212078329993,0,0,0,0,0,0,0,0,9.146034838068692e-5,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,3750,0,0.15866125917562335,1.225517239658598e-4,0.003705012237388419,0.12582522439507232,0.23992551747475008,0.15518451269995184,0.06032874052431637,0.15590820686438478,0.03422154853800706,0.024493685115091007,0.011896962437178523,0.00663626207934693,0.0025566147636192126,0.006435474157856897,0.01010818626726099,0.007494024612945043,0,0,2.659664558108689e-5,0,2.0935210897754716e-5,0.009164058165669953,0.05403781312418752,0.03477876646485455,0.36958292074954546,0.48486858614730494,0.04002078697260271,0.003779394575638912,0.30450258550578657,0.6443461690066536,2.1163357786923953e-5,0.03613193713950433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3779924961147697e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07827640002327524,0.13685120126770484,9.117803674148883e-5,0,0,0,0,0,0,0,1.045547652487468e-4,0,0,0,0,0,-1.1148897,0.5487192000000001
