array,site,array_visit,buffer_dist,AGE_0_10,AGE_10_20,AGE_20_30,AGE_30_40,AGE_40_50,AGE_50_60,AGE_60_70,AGE_70_80,AGE_80_90,AGE_90_100,AGE_100_110,AGE_110_120,AGE_120_130,AGE_130_140,AGE_140_150,AGE_GT_150,LC_WATER,LC_SNOW_ICE,LC_ROCK_RUBBLE,LC_EXPOSED_BARREN,LC_BRYOIDS,LC_SHRUBS,LC_WETLAND,LC_WETLAND_TREED,LC_HERBS,LC_CONIFEROUS,LC_BROADLEAF,LC_MIXEDWOOD,PINU.BAN_PCT_OF_TREED,PICE.MAR_PCT_OF_TREED,POPU.TRE_PCT_OF_TREED,LARI.LAR_PCT_OF_TREED,PICE.GLA_PCT_OF_TREED,BETU.PAP_PCT_OF_TREED,FIRE_PCT_1985,FIRE_PCT_1986,FIRE_PCT_1987,FIRE_PCT_1988,FIRE_PCT_1989,FIRE_PCT_1990,FIRE_PCT_1991,FIRE_PCT_1992,FIRE_PCT_1993,FIRE_PCT_1994,FIRE_PCT_1995,FIRE_PCT_1996,FIRE_PCT_1997,FIRE_PCT_1998,FIRE_PCT_1999,FIRE_PCT_2000,FIRE_PCT_2001,FIRE_PCT_2002,FIRE_PCT_2003,FIRE_PCT_2004,FIRE_PCT_2005,FIRE_PCT_2006,FIRE_PCT_2007,FIRE_PCT_2008,FIRE_PCT_2009,FIRE_PCT_2010,FIRE_PCT_2011,FIRE_PCT_2012,FIRE_PCT_2013,FIRE_PCT_2014,FIRE_PCT_2015,FIRE_PCT_2016,FIRE_PCT_2017,FIRE_PCT_2018,FIRE_PCT_2019,FIRE_PCT_2020,HARVEST_PCT_1985,HARVEST_PCT_1986,HARVEST_PCT_1987,HARVEST_PCT_1988,HARVEST_PCT_1989,HARVEST_PCT_1990,HARVEST_PCT_1991,HARVEST_PCT_1992,HARVEST_PCT_1993,HARVEST_PCT_1994,HARVEST_PCT_1995,HARVEST_PCT_1996,HARVEST_PCT_1997,HARVEST_PCT_1998,HARVEST_PCT_1999,HARVEST_PCT_2000,HARVEST_PCT_2001,HARVEST_PCT_2002,HARVEST_PCT_2003,HARVEST_PCT_2004,HARVEST_PCT_2005,HARVEST_PCT_2006,HARVEST_PCT_2007,HARVEST_PCT_2008,HARVEST_PCT_2009,HARVEST_PCT_2010,HARVEST_PCT_2011,HARVEST_PCT_2012,HARVEST_PCT_2013,HARVEST_PCT_2014,HARVEST_PCT_2015,HARVEST_PCT_2016,HARVEST_PCT_2017,HARVEST_PCT_2018,HARVEST_PCT_2019,HARVEST_PCT_2020
LU2,LU2_3,LU2_2021,1500,0,0.14983991067450644,0,7.908812817755261e-4,0.08292808685914742,0.22526772891155963,0.17405508087265054,0.08338896451409092,0.16404923078057146,0.05651644778407942,0.02186741401503002,0.01172449628188604,0.00756949238497216,0.00294089026646406,0.00516760053408403,0.01369404030188195,0.00691156544148174,0,0,0,0,6.229736604272694e-5,0.01915537649082956,0.05993606002801526,0.04696979546041607,0.4472947206883098,0.3870575096765455,0.03259191192055653,0.0140428821209773,0.3727776464704922,0.5782838428148129,0,0.02998646184191183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05625452153658242,0.13228892167550502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,1750,0,0.16316108752785333,3.5791440961775356e-6,8.641122975561229e-4,0.08847345260377489,0.2172362946471796,0.16783515482808872,0.07919642047716462,0.16442421794265932,0.05127948034259613,0.01971793858141361,0.01142121613026587,0.00722155273619711,0.00252936026005085,0.00533041004411753,0.01231564531470312,0.01656591812928607,0,0,0,0,6.606940225614606e-5,0.01757338780079875,0.06165348568997598,0.04634124060258845,0.4004812856544676,0.4273259466909146,0.02997906829838408,0.01109430099050946,0.3417202213486386,0.6027428533091053,0,0.03083204129879951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737102480234974e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06195299715766314,0.14589522280703887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,2000,0,0.1627469073589916,2.951665776408289e-5,0.00109355246090973,0.09370808529548456,0.21325224377466712,0.1652933622186181,0.0768442469676134,0.16898542519646123,0.04817306177270551,0.01863834205765231,0.01107586026523774,0.00704006141514937,0.00241508418476987,0.00537236044772977,0.01139437727633274,0.02017273984267471,0,0,0,0,5.931217075451468e-5,0.01853751907569083,0.0604352597689035,0.04360979450691751,0.3730869401791801,0.4556681660559338,0.02841919043499675,0.00917621237015815,0.32013035144445645,0.6193398114923924,0,0.03257500200474489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.906616468775677e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598397907687811,0.1496191994352487,0,0,0,0,0,0,0,0,9.13949208048464e-7,0,0,0,0,0
LU2,LU2_3,LU2_2021,2250,0,0.17010642172809318,6.558871617189612e-5,0.00140366630883748,0.10318351473279598,0.2134496903299616,0.1623644456910532,0.07282521775025512,0.1652890323723065,0.04523361753395884,0.01917456876194521,0.01053008860000062,0.00680353339722378,0.00251096135576849,0.00545896758796418,0.01052299706376257,0.01599415404826599,0,0,2.895406085372249e-7,0,5.472059068275443e-5,0.01757619822221938,0.05695380605088398,0.04204451321208221,0.3606077795250441,0.4797727953834228,0.02698661324792051,0.00756027490140911,0.3073528907657977,0.6362085354519258,0,0.03219540097287395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.680859493339192e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06300000165707938,0.16015617924652314,0,0,0,0,0,0,0,0,1.3500644946160764e-5,0,0,0,0,0
LU2,LU2_3,LU2_2021,2500,0,0.18300594561786715,7.958489853889173e-5,0.00169207113981118,0.11106911545744826,0.21467779697172035,0.15892296894782934,0.06831186549359455,0.15747982639511887,0.04161434430480069,0.01978504241611116,0.01001673727845296,0.00649163076704085,0.0023754206617065,0.0057228630404279,0.00978475605365892,0.013002201971937761,0,0,1.631950656760306e-6,0,4.704024696536486e-5,0.01546853962005026,0.05340555715330266,0.0425888123921078,0.3527885869644639,0.4951479863093362,0.02754343754950657,0.00621409813282808,0.29755755762862607,0.6504677402287934,0,0.03051964770918025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0533295394853318e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060541432143896,0.18198048953353776,0,0,0,0,0,0,0,0,2.6395723672834515e-5,0,0,0,0,0
LU2,LU2_3,LU2_2021,2750,0,0.18478269235242495,8.599803926560642e-5,0.00205379422250522,0.1136135231906008,0.219768569997305,0.1579284096786212,0.06662587830078912,0.15345707780518544,0.03884797701392321,0.02083047426083108,0.01018070470958222,0.00636499263990391,0.00235811638435279,0.00606376570694664,0.00962719654855953,0.01102572945315493,0,0,2.4406956922793644e-6,0,3.892911117351435e-5,0.01388310378435048,0.05113241917697886,0.04167569318543979,0.35696279552689986,0.4960135473548839,0.02926134204904896,0.0052083987726853,0.299858608830777,0.6508015140865246,0,0.03007708910074962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1382093432212614e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06229387280521192,0.18186626294990188,0,0,0,0,0,0,0,0,2.7957366760409684e-5,0,0,0,0,0
LU2,LU2_3,LU2_2021,3000,0,0.1814809821879416,9.621809798485988e-5,0.0026422646605777,0.11687295274989504,0.22503841576740552,0.15755190769607424,0.065304391038095,0.15124352483397543,0.03675795912477347,0.02169027204783884,0.01069414774101283,0.00618345131016548,0.00238637446911171,0.00628623192156596,0.00954485350455659,0.01039707553427464,0,0,7.535307798678583e-6,0,3.271126702774191e-5,0.01221314430098146,0.05135060815394864,0.0404534219503642,0.3586365927161676,0.4956485109381233,0.03125629014406737,0.00446855049969187,0.2998558919318149,0.6512941342943324,0,0.0311857997428628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2734748262702042e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06836736553036174,0.1727313858981969,0,0,0,0,0,0,0,0,4.716317164031317e-5,0,0,0,0,0
LU2,LU2_3,LU2_2021,3250,0,0.17708130316137632,1.0037269208930284e-4,0.00308157294273511,0.1195709388818096,0.2297723365797658,0.15615411760406245,0.0634241038939615,0.15125470675829744,0.03576140145499545,0.0226413413088324,0.01130750478367838,0.00615114744076662,0.00241264343297156,0.00633810871300609,0.00964305764783728,0.00988949796020842,0,0,1.3961876041696408e-5,0,2.7872322201153507e-5,0.01071170855103957,0.05263563875609321,0.03877934029193496,0.36280522149581873,0.4923978910860186,0.03273468933767734,0.00381034972152776,0.30342153853027676,0.6473850541438283,2.813813530203629e-5,0.03288855683173476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3284621011819497e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07517383842207806,0.16282618181179817,0,0,0,0,0,0,0,0,6.81040456368572e-5,0,0,0,0,0
LU2,LU2_3,LU2_2021,3500,0,0.16853977392744693,1.033172357480186e-4,0.00344438014992807,0.12229776084860502,0.2352431787828707,0.15534239161540123,0.06160474159029155,0.15355973032554782,0.0347612683869475,0.02379152904802506,0.01174050778677504,0.00628388148793863,0.00247161204541256,0.0064174390947981,0.00982157702205367,0.00858215851244999,0,0,2.1550754662539008e-5,0,2.4032767612218858e-5,0.00964891728959148,0.05311414435944932,0.03667627284932789,0.3663880159133749,0.48978816063776853,0.03575211466644135,0.00338939680637715,0.30605394676247116,0.6448752200831427,2.4294670928867217e-5,0.03383895690568159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3674340025473052e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07731749454114545,0.15099212078329993,0,0,0,0,0,0,0,0,9.146034838068692e-5,0,0,0,0,0
LU2,LU2_3,LU2_2021,3750,0,0.15866125917562335,1.225517239658598e-4,0.00370501223738841,0.12582522439507232,0.23992551747475008,0.15518451269995184,0.06032874052431637,0.15590820686438478,0.03422154853800706,0.024493685115091,0.01189696243717852,0.00663626207934693,0.00255661476361921,0.00643547415785689,0.01010818626726099,0.00749402461294504,0,0,2.659664558108689e-5,0,2.0935210897754716e-5,0.00916405816566995,0.05403781312418752,0.03477876646485455,0.36958292074954546,0.48486858614730494,0.04002078697260271,0.00377939457563891,0.30450258550578657,0.6443461690066536,2.1163357786923953e-5,0.03613193713950433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3779924961147697e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07827640002327524,0.13685120126770484,9.117803674148884e-5,0,0,0,0,0,0,0,1.045547652487468e-4,0,0,0,0,0
