array,site,week,species,presence,detections,month,year
LU2,LU2_100,2021-12-19T00:00:00Z,black bear,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,caribou,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,cougar,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,coyote,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,fisher,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,grey wolf,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,lynx,1,1,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,moose,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,red fox,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,red squirrel,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,snowshoe hare,0,0,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,white-tailed deer,1,2,12,2021
LU2,LU2_100,2021-12-19T00:00:00Z,wolverine,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,black bear,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,caribou,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,cougar,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,coyote,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,fisher,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,grey wolf,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,lynx,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,moose,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,red fox,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,red squirrel,0,0,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,snowshoe hare,1,1,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,white-tailed deer,1,1,12,2021
LU2,LU2_100,2021-12-26T00:00:00Z,wolverine,0,0,12,2021
LU2,LU2_100,2022-01-02T00:00:00Z,black bear,0,0,1,2022
LU2,LU2_100,2022-01-02T00:00:00Z,caribou,0,0,1,2022
