array,site,long,lat,easting_12n,northing_12n,start_date,end_date,camera_failure_details,deployment_id,array_visit
LU3,LU3_40,-111.16615,55.47251000000001,489496.89896806446,6147386.458834506,2021-07-10,2022-02-04,NA,NA,LU3_2021
LU3,LU3_41,-111.16666000000001,55.461859999999994,489461.81950414,6146201.325079897,2021-07-10,2022-02-04,NA,NA,LU3_2021
LU3,LU3_44,-110.84864,55.501310000000004,509561.181555201,6150589.413188099,2021-07-10,2022-06-11,NA,NA,LU3_2021
LU3,LU3_45,-110.96503,55.517469999999996,502208.0980088377,6152377.980253921,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_46,-110.89555,55.5084,506596.76396790316,6151372.994819645,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_48,-111.09771,55.54892,493835.25491279067,6155881.791647588,2021-07-08,2022-06-12,NA,NA,LU3_2021
LU3,LU3_50,-111.03035,55.551649999999995,498085.28220603854,6156181.694458925,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_51,-110.82767,55.55753,510870.30915735435,6156849.138287979,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_52,-110.89193,55.56306,506815.9329059855,6157456.387839948,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_49,-111.07930999999999,55.55693,494997.1698275393,6156771.738574815,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU13,LU13_18,-111.59020000000001,57.179930000000006,464320.0739628832,6337569.614511734,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_15,-111.59116000000002,57.140370000000004,464223.8632156805,6333166.465912139,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_3,-111.49142000000002,57.12465,470247.3084264982,6331368.676032839,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_34,-111.45408,57.12297000000001,472506.76850448793,6331165.998673154,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_57,-111.05726000000001,57.20649,496540.86488449504,6340373.257721259,2022-09-18,2023-09-24,NA,NA,LU13_2022
LU13,LU13_16,-111.58554,57.16297000000001,464585.5722862072,6335679.26593479,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_21,-111.58622000000001,57.19368,464573.8392547519,6339098.137356905,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_37,-111.37926,57.11808,477033.84740603017,6330593.99285106,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_55,-111.30484,57.11781,481540.2090756391,6330541.343869722,2022-09-18,2023-09-27,NA,NA,LU13_2022
LU13,LU13_47,-111.09103,57.1871,494497.902779457,6338217.005614256,2022-09-18,2023-09-24,NA,NA,LU13_2022
LU13,LU13_51,-111.25424000000001,57.08858,484592.1939485075,6327275.00139388,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_27,-111.24763000000002,57.097150000000006,484996.24288582953,6328227.511506748,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_5,-111.21362000000002,57.1115,487061.8854939164,6329817.9447749965,2022-09-16,2023-09-23,NA,NA,LU13_2022
LU13,LU13_26,-111.27681,57.08022,483220.60531814536,6326349.718606728,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_35,-111.43315000000001,57.11565,473768.8360320066,6330342.923998093,2022-09-16,2023-09-26,NA,NA,LU13_2022
LU13,LU13_13,-111.30006999999999,57.07174,481806.50896256446,6325411.716689266,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_128,-111.3068,57.063210000000005,481394.1976718645,6324464.006005322,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_131,-111.32229999999998,57.06533000000001,480455.32249483676,6324704.32650561,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_12,-111.31858,57.057739999999995,480676.964330659,6323858.38122181,2022-09-16,2023-09-24,NA,NA,LU13_2022
