array,site,buffer_dist,array_visit,ndvi
LU3,LU3_49,50,LU3_2021,0.6950229166666667
LU13,LU13_18,50,LU13_2022,0.6139458333333333
LU13,LU13_15,50,LU13_2022,0.6459625
LU13,LU13_3,50,LU13_2022,0.6917666666666668
LU13,LU13_34,50,LU13_2022,0.52894375
LU13,LU13_57,50,LU13_2022,0.6725229166666667
LU13,LU13_16,50,LU13_2022,0.6626854166666667
LU13,LU13_21,50,LU13_2022,0.46166041666666674
LU13,LU13_37,50,LU13_2022,0.62871875
LU13,LU13_55,50,LU13_2022,0.6439833333333334
LU13,LU13_47,50,LU13_2022,0.7119677083333333
LU13,LU13_51,50,LU13_2022,0.6827645833333333
LU13,LU13_27,50,LU13_2022,0.69418125
LU13,LU13_5,50,LU13_2022,0.7140729166666667
LU13,LU13_26,50,LU13_2022,0.7024333333333334
LU13,LU13_35,50,LU13_2022,0.6510458333333333
LU13,LU13_13,50,LU13_2022,0.7193270833333333
LU13,LU13_128,50,LU13_2022,0.6942354166666668
LU13,LU13_131,50,LU13_2022,0.7028854166666667
LU13,LU13_12,50,LU13_2022,0.6747416666666667
LU13,LU13_33,50,LU13_2022,0.678996875
LU13,LU13_32,50,LU13_2022,0.6733958333333333
LU13,LU13_30,50,LU13_2022,0.65924375
LU13,LU13_53,50,LU13_2022,0.65838125
LU13,LU13_22,50,LU13_2022,0.7217416666666667
LU13,LU13_19,50,LU13_2022,0.7078916666666667
LU13,LU13_45,50,LU13_2022,0.69885
LU13,LU13_8,50,LU13_2022,0.6849791666666667
LU13,LU13_43,50,LU13_2022,0.6756447916666667
LU13,LU13_41,50,LU13_2022,0.6856645833333334
LU13,LU13_59,50,LU13_2022,0.69186875
LU13,LU13_6,50,LU13_2022,0.7192458333333334
LU13,LU13_14,50,LU13_2022,0.6811875000000001
LU13,LU13_52,50,LU13_2022,0.628225
LU13,LU13_36,50,LU13_2022,0.6637895833333334
LU13,LU13_38,50,LU13_2022,0.6281635416666667
LU13,LU13_20,50,LU13_2022,0.5773375000000001
LU13,LU13_17,50,LU13_2022,0.69160625
LU13,LU13_56,50,LU13_2022,0.6206583333333334
LU13,LU13_49,50,LU13_2022,0.6712666666666667
LU13,LU13_70,50,LU13_2022,0.7117187500000001
LU13,LU13_11,50,LU13_2022,0.72126875
LU15,LU15_44,50,LU15_2022,0.6915333333333333
LU15,LU15_11,50,LU15_2022,0.6644265625000001
LU15,LU15_19,50,LU15_2022,0.6810333333333334
LU15,LU15_7,50,LU15_2022,0.7303645833333333
LU15,LU15_34,50,LU15_2022,0.6756552083333334
LU15,LU15_37,50,LU15_2022,0.6534409722222222
LU15,LU15_18,50,LU15_2022,0.6881375000000001
LU15,LU15_43,50,LU15_2022,0.7185770833333334
LU15,LU15_10,50,LU15_2022,0.6853
LU15,LU15_58,50,LU15_2022,0.7160743055555555
LU15,LU15_8,50,LU15_2022,0.6790750000000001
LU15,LU15_12,50,LU15_2022,0.64394375
LU15,LU15_17,50,LU15_2022,0.6910604166666667
LU15,LU15_1,50,LU15_2022,0.6220187500000001
LU15,LU15_26,50,LU15_2022,0.6714458333333333
LU15,LU15_27,50,LU15_2022,0.6754833333333333
LU15,LU15_28,50,LU15_2022,0.6914375
LU15,LU15_2,50,LU15_2022,0.6562666666666667
LU15,LU15_29,50,LU15_2022,0.66495625
LU15,LU15_30,50,LU15_2022,0.6892770833333334
LU15,LU15_31,50,LU15_2022,0.69586875
LU15,LU15_32,50,LU15_2022,0.6863791666666668
LU15,LU15_20,50,LU15_2022,0.7364208333333333
LU15,LU15_21,50,LU15_2022,0.7695614583333334
LU15,LU15_23,50,LU15_2022,0.6960885416666667
LU15,LU15_41,50,LU15_2022,0.6896562500000001
LU15,LU15_25,50,LU15_2022,0.69926875
LU15,LU15_9,50,LU15_2022,0.6972270833333334
LU15,LU15_24,50,LU15_2022,0.7253171875
LU15,LU15_46,50,LU15_2022,0.7382364583333334
LU15,LU15_40,50,LU15_2022,0.7018104166666668
LU15,LU15_16,50,LU15_2022,0.71678125
LU15,LU15_4,50,LU15_2022,0.6169770833333333
LU15,LU15_36,50,LU15_2022,0.6500750000000001
LU15,LU15_3,50,LU15_2022,0.73284375
LU15,LU15_15,50,LU15_2022,0.6301625
LU15,LU15_14,50,LU15_2022,0.7505625
LU15,LU15_22,50,LU15_2022,0.6374041666666668
LU15,LU15_61,50,LU15_2022,0.6903645833333334
LU21,LU21_106,50,LU21_2022,0.7319906250000001
LU21,LU21_10,50,LU21_2022,0.6204875000000001
LU21,LU21_16,50,LU21_2022,0.6694052083333333
LU21,LU21_107,50,LU21_2022,0.6719812500000001
LU21,LU21_41,50,LU21_2022,0.6952145833333334
LU21,LU21_63,50,LU21_2022,0.637275
LU21,LU21_27,50,LU21_2022,0.66805625
LU21,LU21_23,50,LU21_2022,0.6726708333333333
LU21,LU21_21,50,LU21_2022,0.68934375
LU21,LU21_82,50,LU21_2022,0.6771166666666667
LU21,LU21_871,50,LU21_2022,0.76705
LU21,LU21_164,50,LU21_2022,0.5969979166666667
LU21,LU21_36,50,LU21_2022,0.6285208333333333
LU21,LU21_14,50,LU21_2022,0.6859916666666668
LU21,LU21_32,50,LU21_2022,0.6757416666666667
LU21,LU21_126,50,LU21_2022,0.6792354166666668
LU21,LU21_122,50,LU21_2022,0.6784291666666667
LU21,LU21_56,50,LU21_2022,0.7081052083333333
LU21,LU21_57,50,LU21_2022,0.6946281249999999
